Sem,Cod Docente,Sede,Atributo,Calificación
1,A14056,ATE,CAPACITACIÓN,Desaprobado
1,A14056,ATE,METODOLOGIA ENCUESTAS,Desaprobado
1,A14056,ATE,ACTITUD,Desaprobado
1,A14124,SJL,ASISTENCIA,Observado
1,A14124,SJL,PUNTUALIDAD,Desaprobado
1,A14124,SJL,TOMA DE ASISTENCIA,Observado
1,A14124,SJL,OBSERVACIÓN,Desaprobado
1,A14124,SJL,CAPACITACIÓN,Desaprobado
1,A14124,SJL,METODOLOGIA ENCUESTAS,Desaprobado
1,A14124,SJL,ACTITUD,Desaprobado
1,A17030,SJM,ASISTENCIA,Observado
1,A17030,SJM,PUNTUALIDAD,Desaprobado
1,A17030,SJM,TOMA DE ASISTENCIA,Aprobado
1,A17030,SJM,OBSERVACIÓN,Desaprobado
1,A17030,SJM,CAPACITACIÓN,Desaprobado
1,A17030,SJM,METODOLOGIA ENCUESTAS,Desaprobado
1,A17030,SJM,ACTITUD,Desaprobado
1,A17035,LIMA CENTRO,ASISTENCIA,Observado
1,A17035,LIMA CENTRO,PUNTUALIDAD,Aprobado
1,A17035,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,A17035,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,A17035,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,A17035,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,A17035,LIMA CENTRO,ACTITUD,Desaprobado
1,A17044,WILSON,ASISTENCIA,Observado
1,A17044,WILSON,PUNTUALIDAD,Desaprobado
1,A17044,WILSON,TOMA DE ASISTENCIA,Aprobado
1,A17044,WILSON,OBSERVACIÓN,Desaprobado
1,A17044,WILSON,CAPACITACIÓN,Desaprobado
1,A17044,WILSON,METODOLOGIA ENCUESTAS,Desaprobado
1,A17044,WILSON,ACTITUD,Desaprobado
1,A18104,LIMA CENTRO,ASISTENCIA,Desaprobado
1,A18104,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,A18104,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,A18104,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,A18104,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,A18104,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,A18104,LIMA CENTRO,ACTITUD,Desaprobado
1,D00055,LIMA CENTRO,ASISTENCIA,Aprobado
1,D00055,LIMA CENTRO,PUNTUALIDAD,Observado
1,D00055,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D00055,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D00055,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D00055,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D00055,LIMA CENTRO,ACTITUD,Desaprobado
1,D00077,LIMA CENTRO,ASISTENCIA,Observado
1,D00077,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D00077,LIMA CENTRO,TOMA DE ASISTENCIA,Observado
1,D00077,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D00077,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D00077,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D00077,LIMA CENTRO,ACTITUD,Desaprobado
1,D01049,LIMA CENTRO,ASISTENCIA,Observado
1,D01049,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D01049,LIMA CENTRO,TOMA DE ASISTENCIA,Observado
1,D01049,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D01049,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D01049,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D01049,LIMA CENTRO,ACTITUD,Desaprobado
1,D02015,SJM,ASISTENCIA,Aprobado
1,D02015,SJM,PUNTUALIDAD,Observado
1,D02015,SJM,TOMA DE ASISTENCIA,Aprobado
1,D02015,SJM,OBSERVACIÓN,Desaprobado
1,D02015,SJM,CAPACITACIÓN,Desaprobado
1,D02015,SJM,METODOLOGIA ENCUESTAS,Desaprobado
1,D02015,SJM,ACTITUD,Desaprobado
1,D02020,LIMA CENTRO,ASISTENCIA,Aprobado
1,D02020,LIMA CENTRO,PUNTUALIDAD,Observado
1,D02020,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D02020,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D02020,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D02020,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D02020,LIMA CENTRO,ACTITUD,Desaprobado
1,D02072,LIMA CENTRO,ASISTENCIA,Observado
1,D02072,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D02072,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D02072,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D02072,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D02072,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D02072,LIMA CENTRO,ACTITUD,Desaprobado
1,D02084,LIMA CENTRO,ASISTENCIA,Desaprobado
1,D02084,LIMA CENTRO,PUNTUALIDAD,Aprobado
1,D02084,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D02084,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D02084,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D02084,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D02084,LIMA CENTRO,ACTITUD,Desaprobado
1,D02108,LIMA CENTRO,ASISTENCIA,Aprobado
1,D02108,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D02108,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D02108,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D02108,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D02108,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D02108,LIMA CENTRO,ACTITUD,Desaprobado
1,D02135,LIMA CENTRO,ASISTENCIA,Observado
1,D02135,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D02135,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D02135,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D02135,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D02135,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D02135,LIMA CENTRO,ACTITUD,Desaprobado
1,D03001,TOMAS VALLE,ASISTENCIA,Observado
1,D03001,TOMAS VALLE,PUNTUALIDAD,Desaprobado
1,D03001,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D03001,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D03001,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D03001,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D03001,TOMAS VALLE,ACTITUD,Desaprobado
1,D03012,LIMA CENTRO,ASISTENCIA,Aprobado
1,D03012,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D03012,LIMA CENTRO,TOMA DE ASISTENCIA,Observado
1,D03012,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D03012,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D03012,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D03012,LIMA CENTRO,ACTITUD,Desaprobado
1,D03013,LIMA CENTRO,ASISTENCIA,Observado
1,D03013,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D03013,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D03013,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D03013,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D03013,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D03013,LIMA CENTRO,ACTITUD,Desaprobado
1,D03018,LIMA CENTRO,ASISTENCIA,Observado
1,D03018,LIMA CENTRO,PUNTUALIDAD,Observado
1,D03018,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D03018,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D03018,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D03018,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D03018,LIMA CENTRO,ACTITUD,Desaprobado
1,D03055,TOMAS VALLE,ASISTENCIA,Aprobado
1,D03055,TOMAS VALLE,PUNTUALIDAD,Desaprobado
1,D03055,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D03055,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D03055,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D03055,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D03055,TOMAS VALLE,ACTITUD,Desaprobado
1,D05003,PIURA,ASISTENCIA,Aprobado
1,D05003,PIURA,PUNTUALIDAD,Desaprobado
1,D05003,PIURA,TOMA DE ASISTENCIA,Observado
1,D05003,PIURA,OBSERVACIÓN,Desaprobado
1,D05003,PIURA,CAPACITACIÓN,Desaprobado
1,D05003,PIURA,METODOLOGIA ENCUESTAS,Desaprobado
1,D05003,PIURA,ACTITUD,Desaprobado
1,D05004,LIMA CENTRO,ASISTENCIA,Observado
1,D05004,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D05004,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D05004,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D05004,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D05004,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D05004,LIMA CENTRO,ACTITUD,Desaprobado
1,D05032,SJM,ASISTENCIA,Aprobado
1,D05032,SJM,PUNTUALIDAD,Desaprobado
1,D05032,SJM,TOMA DE ASISTENCIA,Aprobado
1,D05032,SJM,OBSERVACIÓN,Desaprobado
1,D05032,SJM,CAPACITACIÓN,Desaprobado
1,D05032,SJM,METODOLOGIA ENCUESTAS,Desaprobado
1,D05032,SJM,ACTITUD,Desaprobado
1,D05041,WILSON,ASISTENCIA,Observado
1,D05041,WILSON,PUNTUALIDAD,Desaprobado
1,D05041,WILSON,TOMA DE ASISTENCIA,Aprobado
1,D05041,WILSON,OBSERVACIÓN,Desaprobado
1,D05041,WILSON,CAPACITACIÓN,Desaprobado
1,D05041,WILSON,METODOLOGIA ENCUESTAS,Desaprobado
1,D05041,WILSON,ACTITUD,Desaprobado
1,D05049,LIMA CENTRO,ASISTENCIA,Aprobado
1,D05049,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D05049,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D05049,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D05049,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D05049,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D05049,LIMA CENTRO,ACTITUD,Desaprobado
1,D05052,TOMAS VALLE,ASISTENCIA,Aprobado
1,D05052,TOMAS VALLE,PUNTUALIDAD,Aprobado
1,D05052,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D05052,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D05052,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D05052,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D05052,TOMAS VALLE,ACTITUD,Desaprobado
1,D06027,SJM,ASISTENCIA,Aprobado
1,D06027,SJM,PUNTUALIDAD,Desaprobado
1,D06027,SJM,TOMA DE ASISTENCIA,Aprobado
1,D06027,SJM,OBSERVACIÓN,Desaprobado
1,D06027,SJM,CAPACITACIÓN,Desaprobado
1,D06027,SJM,METODOLOGIA ENCUESTAS,Desaprobado
1,D06027,SJM,ACTITUD,Desaprobado
1,D06032,LIMA CENTRO,ASISTENCIA,Observado
1,D06032,LIMA CENTRO,PUNTUALIDAD,Observado
1,D06032,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D06032,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D06032,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D06032,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D06032,LIMA CENTRO,ACTITUD,Desaprobado
1,D06037,LIMA CENTRO,ASISTENCIA,Aprobado
1,D06037,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D06037,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D06037,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D06037,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D06037,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D06037,LIMA CENTRO,ACTITUD,Desaprobado
1,D06053,ATE,ASISTENCIA,Observado
1,D06053,ATE,PUNTUALIDAD,Desaprobado
1,D06053,ATE,TOMA DE ASISTENCIA,Aprobado
1,D06053,ATE,OBSERVACIÓN,Desaprobado
1,D06053,ATE,CAPACITACIÓN,Desaprobado
1,D06053,ATE,METODOLOGIA ENCUESTAS,Desaprobado
1,D06053,ATE,ACTITUD,Desaprobado
1,D07014,SJM,ASISTENCIA,Aprobado
1,D07014,SJM,PUNTUALIDAD,Observado
1,D07014,SJM,TOMA DE ASISTENCIA,Desaprobado
1,D07014,SJM,OBSERVACIÓN,Desaprobado
1,D07014,SJM,CAPACITACIÓN,Desaprobado
1,D07014,SJM,METODOLOGIA ENCUESTAS,Desaprobado
1,D07014,SJM,ACTITUD,Desaprobado
1,D07037,LIMA CENTRO,ASISTENCIA,Aprobado
1,D07037,LIMA CENTRO,PUNTUALIDAD,Observado
1,D07037,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D07037,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D07037,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D07037,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D07037,LIMA CENTRO,ACTITUD,Desaprobado
1,D07043,LIMA CENTRO,ASISTENCIA,Observado
1,D07043,LIMA CENTRO,PUNTUALIDAD,Observado
1,D07043,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D07043,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D07043,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D07043,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D07043,LIMA CENTRO,ACTITUD,Desaprobado
1,D07045,LIMA CENTRO,ASISTENCIA,Observado
1,D07045,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D07045,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D07045,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D07045,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D07045,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D07045,LIMA CENTRO,ACTITUD,Desaprobado
1,D07055,LIMA CENTRO,ASISTENCIA,Aprobado
1,D07055,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D07055,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D07055,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D07055,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D07055,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D07055,LIMA CENTRO,ACTITUD,Desaprobado
1,D07065,LIMA CENTRO,ASISTENCIA,Aprobado
1,D07065,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D07065,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D07065,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D07065,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D07065,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D07065,LIMA CENTRO,ACTITUD,Desaprobado
1,D07089,LIMA CENTRO,ASISTENCIA,Observado
1,D07089,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D07089,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D07089,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D07089,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D07089,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D07089,LIMA CENTRO,ACTITUD,Desaprobado
1,D08005,LIMA CENTRO,ASISTENCIA,Observado
1,D08005,LIMA CENTRO,PUNTUALIDAD,Observado
1,D08005,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D08005,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D08005,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D08005,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D08005,LIMA CENTRO,ACTITUD,Desaprobado
1,D08029,LIMA CENTRO,ASISTENCIA,Observado
1,D08029,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D08029,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D08029,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D08029,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D08029,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D08029,LIMA CENTRO,ACTITUD,Desaprobado
1,D08053,LIMA CENTRO,ASISTENCIA,Observado
1,D08053,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D08053,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D08053,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D08053,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D08053,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D08053,LIMA CENTRO,ACTITUD,Desaprobado
1,D08099,LIMA CENTRO,ASISTENCIA,Aprobado
1,D08099,LIMA CENTRO,PUNTUALIDAD,Observado
1,D08099,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D08099,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D08099,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D08099,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D08099,LIMA CENTRO,ACTITUD,Desaprobado
1,D08103,LIMA CENTRO,ASISTENCIA,Observado
1,D08103,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D08103,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D08103,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D08103,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D08103,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D08103,LIMA CENTRO,ACTITUD,Desaprobado
1,D08112,LIMA CENTRO,ASISTENCIA,Observado
1,D08112,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D08112,LIMA CENTRO,TOMA DE ASISTENCIA,Observado
1,D08112,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D08112,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D08112,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D08112,LIMA CENTRO,ACTITUD,Desaprobado
1,D08114,TOMAS VALLE,ASISTENCIA,Observado
1,D08114,TOMAS VALLE,PUNTUALIDAD,Observado
1,D08114,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D08114,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D08114,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D08114,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D08114,TOMAS VALLE,ACTITUD,Desaprobado
1,D09003,SJL,ASISTENCIA,Aprobado
1,D09003,SJL,PUNTUALIDAD,Desaprobado
1,D09003,SJL,TOMA DE ASISTENCIA,Aprobado
1,D09003,SJL,OBSERVACIÓN,Desaprobado
1,D09003,SJL,CAPACITACIÓN,Desaprobado
1,D09003,SJL,METODOLOGIA ENCUESTAS,Desaprobado
1,D09003,SJL,ACTITUD,Desaprobado
1,D09012,TOMAS VALLE,ASISTENCIA,Observado
1,D09012,TOMAS VALLE,PUNTUALIDAD,Desaprobado
1,D09012,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D09012,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D09012,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D09012,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D09012,TOMAS VALLE,ACTITUD,Desaprobado
1,D09020,LIMA CENTRO,ASISTENCIA,Aprobado
1,D09020,LIMA CENTRO,PUNTUALIDAD,Observado
1,D09020,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D09020,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D09020,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D09020,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D09020,LIMA CENTRO,ACTITUD,Desaprobado
1,D09024,TOMAS VALLE,ASISTENCIA,Observado
1,D09024,TOMAS VALLE,PUNTUALIDAD,Desaprobado
1,D09024,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D09024,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D09024,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D09024,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D09024,TOMAS VALLE,ACTITUD,Desaprobado
1,D09026,LIMA CENTRO,ASISTENCIA,Observado
1,D09026,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D09026,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D09026,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D09026,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D09026,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D09026,LIMA CENTRO,ACTITUD,Desaprobado
1,D09042,LIMA CENTRO,ASISTENCIA,Aprobado
1,D09042,LIMA CENTRO,PUNTUALIDAD,Observado
1,D09042,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D09042,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D09042,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D09042,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D09042,LIMA CENTRO,ACTITUD,Desaprobado
1,D09043,LIMA CENTRO,ASISTENCIA,Observado
1,D09043,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D09043,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D09043,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D09043,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D09043,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D09043,LIMA CENTRO,ACTITUD,Desaprobado
1,D09048,TOMAS VALLE,ASISTENCIA,Aprobado
1,D09048,TOMAS VALLE,PUNTUALIDAD,Desaprobado
1,D09048,TOMAS VALLE,TOMA DE ASISTENCIA,Aprobado
1,D09048,TOMAS VALLE,OBSERVACIÓN,Desaprobado
1,D09048,TOMAS VALLE,CAPACITACIÓN,Desaprobado
1,D09048,TOMAS VALLE,METODOLOGIA ENCUESTAS,Desaprobado
1,D09048,TOMAS VALLE,ACTITUD,Desaprobado
1,D09056,WILSON,ASISTENCIA,Observado
1,D09056,WILSON,PUNTUALIDAD,Desaprobado
1,D09056,WILSON,TOMA DE ASISTENCIA,Aprobado
1,D09056,WILSON,OBSERVACIÓN,Desaprobado
1,D09056,WILSON,CAPACITACIÓN,Desaprobado
1,D09056,WILSON,METODOLOGIA ENCUESTAS,Desaprobado
1,D09056,WILSON,ACTITUD,Desaprobado
1,D09090,PIURA,ASISTENCIA,Aprobado
1,D09090,PIURA,PUNTUALIDAD,Aprobado
1,D09090,PIURA,TOMA DE ASISTENCIA,Aprobado
1,D09090,PIURA,OBSERVACIÓN,Desaprobado
1,D09090,PIURA,CAPACITACIÓN,Desaprobado
1,D09090,PIURA,METODOLOGIA ENCUESTAS,Desaprobado
1,D09090,PIURA,ACTITUD,Desaprobado
1,D10015,LIMA CENTRO,ASISTENCIA,Aprobado
1,D10015,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D10015,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D10015,LIMA CENTRO,OBSERVACIÓN,Desaprobado
1,D10015,LIMA CENTRO,CAPACITACIÓN,Desaprobado
1,D10015,LIMA CENTRO,METODOLOGIA ENCUESTAS,Desaprobado
1,D10015,LIMA CENTRO,ACTITUD,Desaprobado
1,D10019,LIMA CENTRO,ASISTENCIA,Aprobado
1,D10019,LIMA CENTRO,PUNTUALIDAD,Desaprobado
1,D10019,LIMA CENTRO,TOMA DE ASISTENCIA,Aprobado
1,D10019,LIMA CENTRO,OBSERVACIÓN,Desaprobado
