pasajero,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,has_cabin_number
37,1,1,female,22,0,1,113505,55,E33,S,6,NA,1
38,1,1,male,29.88113451,0,0,111427,26.55,,S,9,NA,0
39,1,0,male,41,0,0,113054,30.5,A21,S,NA,NA,1
40,1,0,male,48,0,0,PC 17591,50.4958,B10,C,NA,208,1
41,1,0,male,29.88113451,0,0,112379,39.6,,C,NA,NA,0
42,1,1,female,44,0,0,PC 17610,27.7208,B4,C,6,NA,1
43,1,1,female,59,2,0,11769,51.4792,C101,S,D,NA,1
44,1,1,female,60,0,0,11813,76.2917,D15,C,8,NA,1
45,1,1,female,41,0,0,16966,134.5,E40,C,3,NA,1
46,1,0,male,45,0,0,113050,26.55,B38,S,NA,NA,1
47,1,0,male,29.88113451,0,0,113798,31,,S,NA,NA,0
48,1,1,male,42,0,0,PC 17476,26.2875,E24,S,5,NA,1
49,1,1,female,53,0,0,PC 17606,27.4458,,C,6,NA,0
50,1,1,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,3,NA,1
51,1,1,female,58,0,1,PC 17755,512.3292,B51 B53 B55,C,3,NA,1
52,1,0,male,33,0,0,695,5,B51 B53 B55,S,NA,NA,1
53,1,0,male,28,0,0,113059,47.1,,S,NA,NA,0
54,1,0,male,17,0,0,113059,47.1,,S,NA,NA,0
55,1,1,male,11,1,2,113760,120,B96 B98,S,4,NA,1
56,1,1,female,14,1,2,113760,120,B96 B98,S,4,NA,1
57,1,1,male,36,1,2,113760,120,B96 B98,S,C,NA,1
58,1,1,female,36,1,2,113760,120,B96 B98,S,4,NA,1
59,1,0,male,49,0,0,19924,26,,S,NA,NA,0
60,1,1,female,29.88113451,0,0,17770,27.7208,,C,5,NA,0
61,1,0,male,36,1,0,19877,78.85,C46,S,NA,172,1
62,1,1,female,76,1,0,19877,78.85,C46,S,6,NA,1
63,1,0,male,46,1,0,W.E.P. 5734,61.175,E31,S,NA,NA,1
64,1,1,female,47,1,0,W.E.P. 5734,61.175,E31,S,4,NA,1
65,1,1,male,27,1,0,113806,53.1,E8,S,5,NA,1
66,1,1,female,33,1,0,113806,53.1,E8,S,5,NA,1
67,1,1,female,36,0,0,PC 17608,262.375,B61,C,4,NA,1
68,1,1,female,30,0,0,110152,86.5,B77,S,8,NA,1
69,1,1,male,45,0,0,PC 17594,29.7,A9,C,7,NA,1
70,1,1,female,29.88113451,0,1,113505,55,E33,S,6,NA,1
71,1,0,male,29.88113451,0,0,112051,0,,S,NA,NA,0
72,1,0,male,27,1,0,13508,136.7792,C89,C,NA,NA,1
73,1,1,female,26,1,0,13508,136.7792,C89,C,4,NA,1
74,1,1,female,22,0,0,113781,151.55,,S,11,NA,0
75,1,0,male,29.88113451,0,0,110465,52,A14,S,NA,NA,1
76,1,0,male,47,0,0,5727,25.5875,E58,S,NA,NA,1
77,1,1,female,39,1,1,PC 17756,83.1583,E49,C,14,NA,1
78,1,0,male,37,1,1,PC 17756,83.1583,E52,C,NA,NA,1
79,1,1,female,64,0,2,PC 17756,83.1583,E45,C,14,NA,1
80,1,1,female,55,2,0,11770,25.7,C101,S,2,NA,1
81,1,0,male,29.88113451,0,0,113791,26.55,,S,NA,NA,0
82,1,0,male,70,1,1,WE/P 5735,71,B22,S,NA,269,1
83,1,1,female,36,0,2,WE/P 5735,71,B22,S,7,NA,1
84,1,1,female,64,1,1,112901,26.55,B26,S,7,NA,1
85,1,0,male,39,1,0,PC 17599,71.2833,C85,C,NA,NA,1
86,1,1,female,38,1,0,PC 17599,71.2833,C85,C,4,NA,1
87,1,1,male,51,0,0,113055,26.55,E17,S,5 9,NA,1
88,1,1,male,27,0,0,113804,30.5,,S,3,NA,0
89,1,1,female,33,0,0,113781,151.55,,S,8,NA,0
90,1,0,male,31,1,0,F.C. 12750,52,B71,S,NA,NA,1
91,1,1,female,27,1,2,F.C. 12750,52,B71,S,3,NA,1
92,1,1,male,31,1,0,17474,57,B20,S,3,NA,1
93,1,1,female,17,1,0,17474,57,B20,S,3,NA,1
94,1,1,male,53,1,1,33638,81.8583,A34,S,13,NA,1
95,1,1,male,4,0,2,33638,81.8583,A34,S,5,NA,1
96,1,1,female,54,1,1,33638,81.8583,A34,S,5,NA,1
97,1,0,male,50,1,0,PC 17761,106.425,C86,C,NA,62,1
98,1,1,female,27,1,1,PC 17558,247.5208,B58 B60,C,6,NA,1
99,1,1,female,48,1,0,PC 17761,106.425,C86,C,2,NA,1
100,1,1,female,48,1,0,11755,39.6,A16,C,1,NA,1
101,1,1,male,49,1,0,PC 17485,56.9292,A20,C,1,NA,1
102,1,0,male,39,0,0,PC 17580,29.7,A18,C,NA,133,1
103,1,1,female,23,0,1,11767,83.1583,C54,C,7,NA,1
104,1,1,female,38,0,0,PC 17757,227.525,C45,C,4,NA,1
105,1,1,female,54,1,0,36947,78.2667,D20,C,4,NA,1
106,1,0,female,36,0,0,PC 17531,31.6792,A29,C,NA,NA,1
107,1,0,male,29.88113451,0,0,PC 17483,221.7792,C95,S,NA,NA,1
108,1,1,female,29.88113451,0,0,PC 17598,31.6833,,S,7,NA,0
109,1,1,female,29.88113451,0,0,17421,110.8833,,C,4,NA,0
110,1,1,male,36,0,0,PC 17474,26.3875,E25,S,5,NA,1
111,1,0,male,30,0,0,113051,27.75,C111,C,NA,NA,1
112,1,1,female,24,3,2,19950,263,C23 C25 C27,S,10,NA,1
113,1,1,female,28,3,2,19950,263,C23 C25 C27,S,10,NA,1
114,1,1,female,23,3,2,19950,263,C23 C25 C27,S,10,NA,1
115,1,0,male,19,3,2,19950,263,C23 C25 C27,S,NA,NA,1
116,1,0,male,64,1,4,19950,263,C23 C25 C27,S,NA,NA,1
117,1,1,female,60,1,4,19950,263,C23 C25 C27,S,10,NA,1
118,1,1,female,30,0,0,PC 17485,56.9292,E36,C,1,NA,1
119,1,0,male,29.88113451,0,0,113778,26.55,D34,S,NA,NA,1
120,1,1,male,50,2,0,PC 17611,133.65,,S,5,NA,0
121,1,1,male,43,1,0,17765,27.7208,D40,C,5,NA,1
122,1,1,female,29.88113451,1,0,PC 17611,133.65,,S,5,NA,0
123,1,1,female,22,0,2,13568,49.5,B39,C,5,NA,1
124,1,1,male,60,1,1,13567,79.2,B41,C,5,NA,1
125,1,1,female,48,1,1,13567,79.2,B41,C,5,NA,1
126,1,0,male,29.88113451,0,0,112058,0,B102,S,NA,NA,1
127,1,0,male,37,1,0,113803,53.1,C123,S,NA,NA,1
128,1,1,female,35,1,0,113803,53.1,C123,S,D,NA,1
129,1,0,male,47,0,0,111320,38.5,E63,S,NA,275,1
130,1,1,female,35,0,0,113503,211.5,C130,C,4,NA,1
131,1,1,female,22,0,1,112378,59.4,,C,7,NA,0
132,1,1,female,45,0,1,112378,59.4,,C,7,NA,0
133,1,0,male,24,0,0,PC 17593,79.2,B86,C,NA,NA,1
134,1,1,male,49,1,0,17453,89.1042,C92,C,5,NA,1
135,1,1,female,29.88113451,1,0,17453,89.1042,C92,C,5,NA,1
136,1,0,male,71,0,0,PC 17754,34.6542,A5,C,NA,NA,1
137,1,1,male,53,0,0,113780,28.5,C51,C,B,NA,1
138,1,1,female,19,0,0,112053,30,B42,S,3,NA,1
139,1,0,male,38,0,1,PC 17582,153.4625,C91,S,NA,147,1
140,1,1,female,58,0,1,PC 17582,153.4625,C125,S,3,NA,1
141,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C,7,NA,1
142,1,1,female,45,0,1,PC 17759,63.3583,D10 D12,C,7,NA,1
143,1,0,male,46,0,0,PC 17593,79.2,B82 B84,C,NA,NA,1
144,1,1,male,25,1,0,11765,55.4417,E50,C,5,NA,1
145,1,1,female,25,1,0,11765,55.4417,E50,C,5,NA,1
146,1,1,male,48,1,0,PC 17572,76.7292,D33,C,3,NA,1
147,1,1,female,49,1,0,PC 17572,76.7292,D33,C,3,NA,1
148,1,0,male,29.88113451,0,0,113796,42.4,,S,NA,NA,0
149,1,0,male,45,1,0,36973,83.475,C83,S,NA,NA,1
150,1,1,female,35,1,0,36973,83.475,C83,S,D,NA,1
151,1,0,male,40,0,0,112059,0,B94,S,NA,110,1
152,1,1,male,27,0,0,PC 17572,76.7292,D49,C,3,NA,1
153,1,1,male,29.88113451,0,0,16988,30,D45,S,3,NA,1
154,1,1,female,24,0,0,11767,83.1583,C54,C,7,NA,1
155,1,0,male,55,1,1,12749,93.5,B69,S,NA,307,1
156,1,1,female,52,1,1,12749,93.5,B69,S,3,NA,1
157,1,0,male,42,0,0,113038,42.5,B11,S,NA,NA,1
158,1,0,male,29.88113451,0,0,17463,51.8625,E46,S,NA,NA,1
159,1,0,male,55,0,0,680,50,C39,S,NA,NA,1
160,1,1,female,16,0,1,111361,57.9792,B18,C,4,NA,1
161,1,1,female,44,0,1,111361,57.9792,B18,C,4,NA,1
162,1,1,female,51,1,0,13502,77.9583,D11,S,10,NA,1
163,1,0,male,42,1,0,113789,52,,S,NA,38,0
164,1,1,female,35,1,0,113789,52,,S,8,NA,0
165,1,1,male,35,0,0,111426,26.55,,C,15,NA,0
166,1,1,male,38,1,0,19943,90,C93,S,D,NA,1
167,1,0,male,29.88113451,0,0,PC 17600,30.6958,,C,14,NA,0
168,1,1,female,35,1,0,19943,90,C93,S,D,NA,1
169,1,1,female,38,0,0,113572,80,B28,S,6,NA,1
170,1,0,female,50,0,0,PC 17595,28.7125,C49,C,NA,NA,1
171,1,1,male,49,0,0,112058,0,B52 B54 B56,S,C,NA,1
172,1,0,male,46,0,0,694,26,,S,NA,80,0
173,1,0,male,50,0,0,113044,26,E60,S,NA,NA,1
174,1,0,male,32.5,0,0,113503,211.5,C132,C,NA,45,1
175,1,0,male,58,0,0,11771,29.7,B37,C,NA,258,1
176,1,0,male,41,1,0,17464,51.8625,D21,S,NA,NA,1
177,1,1,female,29.88113451,1,0,17464,51.8625,D21,S,8,NA,1
178,1,1,male,42,1,0,11753,52.5542,D19,S,5,NA,1
179,1,1,female,45,1,0,11753,52.5542,D19,S,5,NA,1
180,1,0,male,29.88113451,0,0,113028,26.55,C124,S,NA,NA,1
181,1,1,female,39,0,0,24160,211.3375,,S,2,NA,0
182,1,1,female,49,0,0,17465,25.9292,D17,S,8,NA,1
183,1,1,female,30,0,0,PC 17761,106.425,,C,2,NA,0
184,1,1,male,35,0,0,PC 17755,512.3292,B101,C,3,NA,1
185,1,0,male,29.88113451,0,0,PC 17612,27.7208,,C,NA,NA,0
186,1,0,male,42,0,0,17475,26.55,,S,NA,NA,0
187,1,1,female,55,0,0,112377,27.7208,,C,6,NA,0
188,1,1,female,16,0,1,PC 17592,39.4,D28,S,9,NA,1
189,1,1,female,51,0,1,PC 17592,39.4,D28,S,9,NA,1
190,1,0,male,29,0,0,113501,30,D6,S,NA,126,1
191,1,1,female,21,0,0,13502,77.9583,D9,S,10,NA,1
192,1,0,male,30,0,0,113801,45.5,,S,NA,NA,0
193,1,1,female,58,0,0,PC 17569,146.5208,B80,C,NA,NA,1
194,1,1,female,15,0,1,24160,211.3375,B5,S,2,NA,1
195,1,0,male,30,0,0,110469,26,C106,S,NA,NA,1
196,1,1,female,16,0,0,110152,86.5,B79,S,8,NA,1
197,1,1,male,29.88113451,0,0,11774,29.7,C47,C,7,NA,1
198,1,0,male,19,1,0,113773,53.1,D30,S,NA,NA,1
199,1,1,female,18,1,0,113773,53.1,D30,S,10,NA,1
200,1,1,female,24,0,0,PC 17482,49.5042,C90,C,6,NA,1
201,1,0,male,46,0,0,13050,75.2417,C6,C,NA,292,1
202,1,0,male,54,0,0,17463,51.8625,E46,S,NA,175,1
203,1,1,male,36,0,0,PC 17473,26.2875,E25,S,7,NA,1
204,1,0,male,28,1,0,PC 17604,82.1708,,C,NA,NA,0
205,1,1,female,29.88113451,1,0,PC 17604,82.1708,,C,6,NA,0
206,1,0,male,65,0,0,13509,26.55,E38,S,NA,249,1
207,1,0,male,44,2,0,19928,90,C78,Q,NA,230,1
208,1,1,female,33,1,0,19928,90,C78,Q,14,NA,1
209,1,1,female,37,1,0,19928,90,C78,Q,14,NA,1
210,1,1,male,30,1,0,13236,57.75,C78,C,11,NA,1
211,1,0,male,55,0,0,113787,30.5,C30,S,NA,NA,1
212,1,0,male,47,0,0,113796,42.4,,S,NA,NA,0
213,1,0,male,37,0,1,PC 17596,29.7,C118,C,NA,NA,1
214,1,1,female,31,1,0,35273,113.275,D36,C,6,NA,1
215,1,1,female,23,1,0,35273,113.275,D36,C,6,NA,1
216,1,0,male,58,0,2,35273,113.275,D48,C,NA,122,1
217,1,1,female,19,0,2,11752,26.2833,D47,S,5,NA,1
218,1,0,male,64,0,0,693,26,,S,NA,263,0
219,1,1,female,39,0,0,PC 17758,108.9,C105,C,8,NA,1
220,1,1,male,29.88113451,0,0,F.C. 12998,25.7417,,C,7,NA,0
221,1,1,female,22,0,1,113509,61.9792,B36,C,5,NA,1
222,1,0,male,65,0,1,113509,61.9792,B30,C,NA,234,1
223,1,0,male,28.5,0,0,PC 17562,27.7208,D43,C,NA,189,1
224,1,0,male,29.88113451,0,0,112052,0,,S,NA,NA,0
225,1,0,male,45.5,0,0,113043,28.5,C124,S,NA,166,1
226,1,0,male,23,0,0,12749,93.5,B24,S,NA,NA,1
227,1,0,male,29,1,0,113776,66.6,C2,S,NA,NA,1
228,1,1,female,22,1,0,113776,66.6,C2,S,8,NA,1
229,1,0,male,18,1,0,PC 17758,108.9,C65,C,NA,NA,1
230,1,1,female,17,1,0,PC 17758,108.9,C65,C,8,NA,1
231,1,1,female,30,0,0,12749,93.5,B73,S,3,NA,1
232,1,1,male,52,0,0,113786,30.5,C104,S,6,NA,1
233,1,0,male,47,0,0,110465,52,C110,S,NA,207,1
234,1,1,female,56,0,1,11767,83.1583,C50,C,7,NA,1
235,1,0,male,38,0,0,19972,0,,S,NA,NA,0
236,1,1,male,29.88113451,0,0,PC 17607,39.6,,S,A,NA,0
237,1,0,male,22,0,0,PC 17760,135.6333,,C,NA,232,0
238,1,0,male,29.88113451,0,0,PC 17757,227.525,,C,NA,NA,0
239,1,1,female,43,0,1,24160,211.3375,B3,S,2,NA,1
240,1,0,male,31,0,0,PC 17590,50.4958,A24,S,NA,NA,1
241,1,1,male,45,0,0,111428,26.55,,S,9,NA,0
242,1,0,male,29.88113451,0,0,113767,50,A32,S,NA,NA,1
243,1,1,female,33,0,0,PC 17613,27.7208,A11,C,11,NA,1
244,1,0,male,46,0,0,PC 17585,79.2,,C,NA,16,0
245,1,0,male,36,0,0,13049,40.125,A10,C,NA,NA,1
246,1,1,female,33,0,0,110152,86.5,B77,S,8,NA,1
247,1,0,male,55,1,0,PC 17603,59.4,,C,NA,NA,0
248,1,1,female,54,1,0,PC 17603,59.4,,C,6,NA,0
249,1,0,male,33,0,0,113790,26.55,,S,NA,109,0
250,1,1,male,13,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4,NA,1
251,1,1,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4,NA,1
252,1,1,female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C,4,NA,1
253,1,0,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C,NA,NA,1
254,1,1,female,48,1,3,PC 17608,262.375,B57 B59 B63 B66,C,4,NA,1
255,1,1,male,29.88113451,0,0,19988,30.5,C106,S,3,NA,1
256,1,1,female,24,0,0,PC 17477,69.3,B35,C,9,NA,1
257,1,1,male,29.88113451,0,0,111163,26,,S,1,NA,0
258,1,1,female,35,1,0,13236,57.75,C28,C,11,NA,1
259,1,1,female,30,0,0,113798,31,,C,4,NA,0
260,1,1,male,34,0,0,113794,26.55,,S,7,NA,0
261,1,1,female,40,0,0,PC 17582,153.4625,C125,S,3,NA,1
262,1,1,male,35,0,0,PC 17475,26.2875,E24,S,5,NA,1
263,1,0,male,50,1,0,13507,55.9,E44,S,NA,NA,1
264,1,1,female,39,1,0,13507,55.9,E44,S,11,NA,1
265,1,1,male,56,0,0,13213,35.5,A26,C,3,NA,1
266,1,1,male,28,0,0,113788,35.5,A6,S,7,NA,1
267,1,0,male,56,0,0,113792,26.55,,S,NA,NA,0
268,1,0,male,56,0,0,17764,30.6958,A7,C,NA,NA,1
269,1,0,male,24,1,0,13695,60,C31,S,NA,NA,1
270,1,0,male,29.88113451,0,0,113056,26,A19,S,NA,NA,1
271,1,1,female,18,1,0,13695,60,C31,S,6,NA,1
272,1,1,male,24,1,0,21228,82.2667,B45,S,7,NA,1
273,1,1,female,23,1,0,21228,82.2667,B45,S,7,NA,1
274,1,1,male,6,0,2,16966,134.5,E34,C,3,NA,1
275,1,1,male,45,1,1,16966,134.5,E34,C,3,NA,1
276,1,1,female,40,1,1,16966,134.5,E34,C,3,NA,1
277,1,0,male,57,1,0,PC 17569,146.5208,B78,C,NA,NA,1
278,1,1,female,29.88113451,1,0,PC 17569,146.5208,B78,C,6,NA,1
279,1,1,male,32,0,0,13214,30.5,B50,C,3,NA,1
280,1,0,male,62,0,0,113514,26.55,C87,S,NA,NA,1
281,1,1,male,54,1,0,11778,55.4417,C116,C,1,NA,1
282,1,1,female,43,1,0,11778,55.4417,C116,C,5,NA,1
283,1,1,female,52,1,0,36947,78.2667,D20,C,4,NA,1
284,1,0,male,29.88113451,0,0,PC 17605,27.7208,,C,NA,NA,0
285,1,1,female,62,0,0,113572,80,B28,S,6,NA,1
286,1,0,male,67,1,0,PC 17483,221.7792,C55 C57,S,NA,96,1
287,1,0,female,63,1,0,PC 17483,221.7792,C55 C57,S,NA,NA,1
288,1,0,male,61,0,0,36963,32.3208,D50,S,NA,46,1
289,1,1,female,48,0,0,17466,25.9292,D17,S,8,NA,1
290,1,1,female,18,0,2,110413,79.65,E68,S,8,NA,1
291,1,0,male,52,1,1,110413,79.65,E67,S,NA,NA,1
292,1,1,female,39,1,1,110413,79.65,E67,S,8,NA,1
293,1,1,male,48,1,0,19996,52,C126,S,5 7,NA,1
294,1,1,female,29.88113451,1,0,19996,52,C126,S,5 7,NA,1
295,1,0,male,49,1,1,17421,110.8833,C68,C,NA,NA,1
296,1,1,male,17,0,2,17421,110.8833,C70,C,B,NA,1
297,1,1,female,39,1,1,17421,110.8833,C68,C,4,NA,1
298,1,1,female,29.88113451,0,0,PC 17585,79.2,,C,D,NA,0
299,1,1,male,31,0,0,2543,28.5375,C53,C,7,NA,1
300,1,0,male,40,0,0,PC 17601,27.7208,,C,NA,NA,0
301,1,0,male,61,0,0,111240,33.5,B19,S,NA,245,1
302,1,0,male,47,0,0,36967,34.0208,D46,S,NA,NA,1
303,1,1,female,35,0,0,PC 17755,512.3292,,C,3,NA,0
304,1,0,male,64,1,0,110813,75.25,D37,C,NA,NA,1
305,1,1,female,60,1,0,110813,75.25,D37,C,5,NA,1
306,1,0,male,60,0,0,113800,26.55,,S,NA,NA,0
307,1,0,male,54,0,1,35281,77.2875,D26,S,NA,NA,1
308,1,0,male,21,0,1,35281,77.2875,D26,S,NA,169,1
309,1,1,female,55,0,0,PC 17760,135.6333,C32,C,8,NA,1
310,1,1,female,31,0,2,36928,164.8667,C7,S,8,NA,1
311,1,0,male,57,1,1,36928,164.8667,,S,NA,NA,0
312,1,1,female,45,1,1,36928,164.8667,,S,8,NA,0
313,1,0,male,50,1,1,113503,211.5,C80,C,NA,NA,1
314,1,0,male,27,0,2,113503,211.5,C82,C,NA,NA,1
315,1,1,female,50,1,1,113503,211.5,C80,C,4,NA,1
316,1,1,female,21,0,0,113795,26.55,,S,8 10,NA,0
317,1,0,male,51,0,1,PC 17597,61.3792,,C,NA,NA,0
318,1,1,male,21,0,1,PC 17597,61.3792,,C,A,NA,0
319,1,0,male,29.88113451,0,0,113510,35,C128,S,NA,NA,1
320,1,1,female,31,0,0,16966,134.5,E39 E41,C,3,NA,1
321,1,1,male,29.88113451,0,0,19947,35.5,C52,S,D,NA,1
322,1,0,male,62,0,0,113807,26.55,,S,NA,NA,0
323,1,1,female,36,0,0,PC 17760,135.6333,C32,C,8,NA,1
324,2,0,male,30,1,0,P/PP 3381,24,,C,NA,NA,0
325,2,1,female,28,1,0,P/PP 3381,24,,C,10,NA,0
326,2,0,male,30,0,0,248744,13,,S,NA,NA,0
327,2,0,male,18,0,0,231945,11.5,,S,NA,NA,0
328,2,0,male,25,0,0,C.A. 34050,10.5,,S,NA,NA,0
329,2,0,male,34,1,0,226875,26,,S,NA,NA,0
330,2,1,female,36,1,0,226875,26,,S,11,NA,0
331,2,0,male,57,0,0,244346,13,,S,NA,NA,0
332,2,0,male,18,0,0,29108,11.5,,S,NA,NA,0
333,2,0,male,23,0,0,C.A. 31030,10.5,,S,NA,NA,0
334,2,1,female,36,0,0,28551,13,D,S,10,NA,1
335,2,0,male,28,0,0,C.A./SOTON 34068,10.5,,S,NA,NA,0
336,2,0,male,51,0,0,S.O.P. 1166,12.525,,S,NA,174,0
337,2,1,male,32,1,0,2908,26,,S,13,NA,0
338,2,1,female,19,1,0,2908,26,,S,13,NA,0
339,2,0,male,28,0,0,244358,26,,S,NA,NA,0
340,2,1,male,1,2,1,230136,39,F4,S,11,NA,1
341,2,1,female,4,2,1,230136,39,F4,S,11,NA,1
342,2,1,female,12,2,1,230136,39,F4,S,13,NA,1
343,2,1,female,36,0,3,230136,39,F4,S,11,NA,1
344,2,1,male,34,0,0,248698,13,D56,S,13,NA,1
345,2,1,female,19,0,0,28404,13,,S,12,NA,0
346,2,0,male,23,0,0,28425,13,,S,NA,NA,0
347,2,0,male,26,0,0,237670,13,,S,NA,NA,0
348,2,0,male,42,0,0,211535,13,,S,NA,NA,0
349,2,0,male,27,0,0,220367,13,,S,NA,NA,0
350,2,1,female,24,0,0,248733,13,F33,S,11,NA,1
351,2,1,female,15,0,2,29750,39,,S,14,NA,0
352,2,0,male,60,1,1,29750,39,,S,NA,NA,0
353,2,1,female,40,1,1,29750,39,,S,14,NA,0
354,2,1,female,20,1,0,236853,26,,S,12,NA,0
355,2,0,male,25,1,0,236853,26,,S,NA,NA,0
356,2,1,female,36,0,0,27849,13,,S,9,NA,0
357,2,0,male,25,0,0,234686,13,,S,NA,97,0
358,2,0,male,42,0,0,244310,13,,S,NA,NA,0
359,2,1,female,42,0,0,236852,13,,S,NA,NA,0
360,2,1,male,0.8333,0,2,248738,29,,S,13,NA,0
361,2,1,male,26,1,1,248738,29,,S,13,NA,0
362,2,1,female,22,1,1,248738,29,,S,13,NA,0
363,2,1,female,35,0,0,F.C.C. 13528,21,,S,14,NA,0
364,2,0,male,29.88113451,0,0,239853,0,,S,NA,NA,0
365,2,0,male,19,0,0,28424,13,,S,NA,18,0
366,2,0,female,44,1,0,244252,26,,S,NA,NA,0
367,2,0,male,54,1,0,244252,26,,S,NA,NA,0
368,2,0,male,52,0,0,248731,13.5,,S,NA,130,0
369,2,0,male,37,1,0,SC/AH 29037,26,,S,NA,17,0
370,2,0,female,29,1,0,SC/AH 29037,26,,S,NA,NA,0
371,2,1,female,25,1,1,237789,30,,S,12,NA,0
372,2,1,female,45,0,2,237789,30,,S,12,NA,0
373,2,0,male,29,1,0,2003,26,,S,NA,NA,0
374,2,1,female,28,1,0,2003,26,,S,14,NA,0
375,2,0,male,29,0,0,W./C. 14263,10.5,,S,NA,NA,0
376,2,0,male,28,0,0,248740,13,,S,NA,NA,0
377,2,1,male,24,0,0,28034,10.5,,S,9,NA,0
378,2,1,female,8,0,2,C.A. 31921,26.25,,S,14,NA,0
379,2,0,male,31,1,1,C.A. 31921,26.25,,S,NA,NA,0
380,2,1,female,31,1,1,C.A. 31921,26.25,,S,14,NA,0
381,2,1,female,22,0,0,W./C. 14266,10.5,F33,S,14,NA,1
382,2,0,female,30,0,0,237249,13,,S,NA,NA,0
383,2,0,female,29.88113451,0,0,F.C.C. 13534,21,,S,NA,NA,0
384,2,0,male,21,0,0,29107,11.5,,S,NA,NA,0
385,2,0,male,29.88113451,0,0,239853,0,,S,NA,NA,0
386,2,1,male,8,1,1,C.A. 33112,36.75,,S,14,NA,0
387,2,0,male,18,0,0,S.O.C. 14879,73.5,,S,NA,NA,0
388,2,1,female,48,0,2,C.A. 33112,36.75,,S,14,NA,0
389,2,1,female,28,0,0,237668,13,,S,13,NA,0
390,2,0,male,32,0,0,244360,13,,S,NA,NA,0
391,2,0,male,17,0,0,S.O.C. 14879,73.5,,S,NA,NA,0
392,2,0,male,29,1,0,SC/PARIS 2167,27.7208,,C,NA,295,0
393,2,1,female,24,1,0,SC/PARIS 2167,27.7208,,C,12,NA,0
394,2,0,male,25,0,0,C.A. 31029,31.5,,S,NA,NA,0
395,2,0,male,18,0,0,S.O.C. 14879,73.5,,S,NA,NA,0
396,2,1,female,18,0,1,231919,23,,S,NA,NA,0
397,2,1,female,34,0,1,231919,23,,S,NA,NA,0
398,2,0,male,54,0,0,28403,26,,S,NA,NA,0
399,2,1,male,8,0,2,28220,32.5,,S,10,NA,0
400,2,0,male,42,1,1,28220,32.5,,S,NA,NA,0
401,2,1,female,34,1,1,28220,32.5,,S,10,NA,0
402,2,1,female,27,1,0,SC/PARIS 2149,13.8583,,C,12,NA,0
403,2,1,female,30,1,0,SC/PARIS 2148,13.8583,,C,12,NA,0
